title,rating,genres,votes,synopsis,age_rating,mainLead1,mainLead2,startYear,endYear,writer,director,id,runtimeMinutes,image_url
Style,6.3,Romance,48,"Lee Seo Jung has recently joined a fashion magazine company called Style. Her boss, Editor Park, is loathed by her employees because of her bad temper. As Seo Jung is trying to climb the ranks of this company, she realizes that the fashion world is not a pretty place. Romance, backstabbing, competition, and lies all come along with the territory. However, she meets Seo Woo Jin who helps her during this tough time.",,Kim Hye-su,Ryu Si-Won,2009,\N,"['Ji-won Ku', 'Yeong-ok Park', 'Moon Ji Young']",['Jong-rok Oh'],tt2056264,22,"https://m.media-amazon.com/images/M/MV5BZmQ2MGViZDAtNGU2Ni00OWZkLWEwYmMtYTJiMzlmNjIwYWI5XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
NCT Life in Osaka,8.5,Reality-TV,18,"Yuta takes in upon himself to be NCT's guide on their trip to Osaka, Japan.",,NCT 127,Doyoung,2017,2017,['\\N'],['\\N'],tt13405044,\N,"https://m.media-amazon.com/images/M/MV5BNmJiYzU1OGMtNDZmOC00MzQ2LWE5MGItZTk1ZTM1YmQ4OTQ1XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
NCT Life in Seoul,8.2,Reality-TV,13,"Second season of the NCT Life series, it features the members touring around Seoul and completing missions. Two new Chinese members, WinWin and Kun, are introduced.",,Doyoung,Jaehyun Jeong,2016,2016,['\\N'],['\\N'],tt13405074,\N,"https://m.media-amazon.com/images/M/MV5BNTkyYmE3MzYtZjA0ZC00N2YxLTk0NDYtZjgxMGZiNDIwM2JlXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
NCT Life: Hot & Young Seoul Trip,8.3,Reality-TV,11,"In the eighth season of NCT Life, Johnny decides to guide his fellow foreign members on a Seoul tour, where they'll see various sides of Seoul they still haven't had the chance to experience.",,NCT 127,Mark Lee,2018,2018,['\\N'],['\\N'],tt13405052,\N,"https://m.media-amazon.com/images/M/MV5BOWUwMzUzNDQtZTg4ZC00NDRhLTk1MmEtODhmOTA3YmJmMmY4XkEyXkFqcGc@._V1_QL75_UY266_CR17,0,180,266_.jpg"
NCT Life: Korean Cuisines Challenge,8.0,Reality-TV,11,"Under the guide of their master chef, Kwon Woo Jung, the members learn how to make ""the top-10 Korean dishes loved by foreigners"". This season serves as a collaboration with Ministry of Culture, Sports, and Tourism to spread Korean culture.",,Doyoung,Jaehyun Jeong,2016,2016,['\\N'],['\\N'],tt13405110,\N,"https://m.media-amazon.com/images/M/MV5BZDNmNmM0OTYtNWYyOC00MzhlLWE4MzktMzg3OWNjYmU3ODg5XkEyXkFqcGc@._V1_QL75_UX180_CR0,27,180,266_.jpg"
NCT Life in Chuncheon & Hongcheon,8.3,Reality-TV,10,"In the ninth season of NCT Life, the members takes a 3 day 2 night trip to Chuncheon and Hongcheon.",,NCT 127,Doyoung,2019,2020,['\\N'],['\\N'],tt13405040,\N,"https://m.media-amazon.com/images/M/MV5BNzU2NDQ3MzEtZDZmNi00MTE5LTkxZmMtYzYzZWMyODc1YzA5XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Paboo & Mojies,7.7,"Adventure,Animation,Comedy",11,"Paboo is a young yet curious panda boy who lives in a magical land called Mojies Town. One day, he found a magical book up the Moji Tree and decides to get it. After he got the book, a magical fairy named Pappy popped out and told him about the book he found: The Mojires Book and also about the Magic Words that would help him and his friends in any situation. Now, Paboo and his friends all explore and solve problems in a quirky, imaginative, and sometimes zany world and discover each Magic Word with the help from Pappy.",TV-Y,,,2012,2013,"['Michitoshi Sugimoto', 'Mayori Sekijima', 'Wook Jung']","['Tae-Heo Han', 'Hiroki Negishi', 'Hiroshi Negishi', 'Heon Pyo Hong']",tt9619208,\N,"https://m.media-amazon.com/images/M/MV5BNWYxN2Q5NjAtOWU0ZS00ZGEwLTg5OTYtMDUzYzdjMWEzNDgzXkEyXkFqcGc@._V1_QL75_UY266_CR24,0,180,266_.jpg"
Taeng9cam,8.1,Reality-TV,8,"A look into the life of SNSD member Taeyeon, during promotions for her first solo album.",,,,2015,\N,['\\N'],['\\N'],tt5164740,\N,
NCT Life: Entertainment Retreat,7.9,Reality-TV,10,"Super Junior's Leeteuk and Shindong follow the members of NCT Dream on their getaway, teaching them the key to success in leading an idol life along the way.",,Zhong Chenle,Na Jaemin,2017,2017,['\\N'],['\\N'],tt13405032,\N,"https://m.media-amazon.com/images/M/MV5BOGNjMDM0NTYtOGU5NC00ZTg0LWIwYWEtOTQ0NzFmMWYxMTA1XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Urideul cheonguk,7.0,Drama,9,,,Jang Dong-gun,Chan-woo Kim,1993,\N,['\\N'],['Yoon-suk Choi'],tt0315695,\N,
Oh Su-jung vs. Karl,5.3,"Comedy,Romance",16,"7 years ago, world-renowned golf player Go Man Soo was dumped by beauty queen Oh Soo Jung. He is now rich and handsome, and she has lost her beauty.",,Ha Seong-cheol,Oh Ji-ho,2007,2007,['\\N'],['\\N'],tt7516436,\N,"https://m.media-amazon.com/images/M/MV5BMDVjZWI2MTktMjM3ZC00Y2I1LTg4ZWEtMTRiNmEyZjI2YzU1XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
One Fine Day,8.2,Reality-TV,6,,,,,2013,\N,['\\N'],['\\N'],tt5227160,\N,"https://m.media-amazon.com/images/M/MV5BOTlmMGIyNDAtNGU4ZS00NmFmLWJlMWUtNmE1ZGU2MGFjNWNlXkEyXkFqcGc@._V1_QL75_UY266_CR1,0,180,266_.jpg"
My Little Fox,7.7,Animation,7,,TV-Y,,,2003,2004,['\\N'],['\\N'],tt5039644,\N,"https://m.media-amazon.com/images/M/MV5BYzgwM2I4ZjMtYjU4My00YzU2LTg4MGQtMzY0NmNkNWY2NDg4XkEyXkFqcGc@._V1_QL75_UY266_CR88,0,180,266_.jpg"
A Style for You,7.1,Reality-TV,7,"Global interactive style show is coming up to upgrade your beauty, fashion and life style. To be global style icons, 4MCs of ""A Style For You"" will work in the field to create their own unique style and become the leaders of K-Style.",,,,2015,2015,['\\N'],['\\N'],tt5219152,52,"https://m.media-amazon.com/images/M/MV5BYTU4NDdjZTItZmVjNC00YTZmLWEyMzItNWM5M2M4ZmRlZTUyXkEyXkFqcGc@._V1_QL75_UY266_CR10,0,180,266_.jpg"
Baby Zuri: The Galactic Quest,6.2,Animation,7,"After learning about Comet Litos and its legend 8 kids from Planet Momon try to make it a better place with the help of a mysterious baby, found in forest, and trying to protect her from Planet Karon research team for Litos and Boni energy.",,,,2006,\N,['\\N'],['\\N'],tt5317612,\N,"https://m.media-amazon.com/images/M/MV5BNjZmNDNiMzgtZDIxMC00Yzc0LWIxM2UtZDhmM2Y1OTAwOTczXkEyXkFqcGc@._V1_QL75_UX180_CR0,27,180,266_.jpg"
Kim Is a Genius,,Drama,,,,,,2019,2019,['\\N'],['\\N'],tt33458985,\N,"https://m.media-amazon.com/images/M/MV5BMTZmYmNlZmYtMzljNS00Mzc0LWI4ZDctYjBiZTI2ODhiOGQxXkEyXkFqcGc@._V1_QL75_UY266_CR5,0,180,266_.jpg"
First Love,,Drama,,"Yunho and Yoochun are high school students, both the exact opposite of each other. Yunho is rebellious and athletic, Yoochun is quiet and romantic. Hye Bin is the new and naive transfer student. As soon as she arrives, she accidentally breaks Yunho's bike, causing tension between them. Hye Bin becomes quickly falls in love with Yoochun for his gentle nature as he lends a shoulder while Yunho tries to make life hard for her. However, Yunho soon falls in love with her as well. Who will she choose?",,,,2005,2005,['\\N'],['\\N'],tt33342692,\N,"https://m.media-amazon.com/images/M/MV5BM2U4MTkxYTctMTdiNi00ZjA0LWJjZmItZGYyOWE3ZjRmZDZlXkEyXkFqcGc@._V1_QL75_UY266_CR5,0,180,266_.jpg"
Aim High,,Drama,,"It deals with school violence and delivers the message that victims of school violence can overcome their traumas with guided care and attention. Who is the perpetrator, and who is the victim? Who will heal them with trauma and guilt? The Justice team is reaching out.",,,,2017,2017,['\\N'],['\\N'],tt33094090,\N,"https://m.media-amazon.com/images/M/MV5BMDIwMDcwNTktNTdjNy00MDgyLWFhZmMtODY2OTEwOTAxYjZlXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Nara's Marvelous Days,,Drama,,A young woman begins to think of herself as damaged goods on the love market after her long-time boyfriend dumps her. A new love story begins when she meets the man who helps her realize the value of second-hand goods. What awaits her next?,,,,2021,2021,['\\N'],['\\N'],tt33071446,\N,"https://m.media-amazon.com/images/M/MV5BNjE5YmVhMmQtMjIzZC00ODcyLWI5MTUtZDI4NzZkM2ZiYTUwXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
The rebirth of space,,,,A documentary that introduces a space where old and new things are combined to create new values and conveys the meaning of newly constructed space architecture based on the existing space.,,,,,,['\\N'],['\\N'],tt38594892,,
Lena's Pocket Beauty,,\N,,This is Lena's Pocket Beauty. Take out your phone from your pocket and search Lena's Pocket Beauty for great beauty tips and tricks. Let's look beautiful together.,,,,2016,\N,['\\N'],['\\N'],tt6963334,7,"https://m.media-amazon.com/images/M/MV5BOGE0ZTI2YjItMWQ0Zi00ZjA2LTk5NWItMDk1NDFiZTJlZGMyXkEyXkFqcGc@._V1_QL75_UY266_CR147,0,180,266_.jpg"
"Nineteen, Logout",,Drama,,"A travelling web drama in which a 19 year old high school girl who wants to break down her boundary, only for her to get hurt, she then meets people who heal her on the way. A travelling web drama in which a 19 year old high school girl who wants to break down her boundary, only for her to get hurt, she then meets people who heal her on the way.",,Kim Bora,Lim Young-joo,2021,2021,['\\N'],['\\N'],tt33312312,\N,"https://m.media-amazon.com/images/M/MV5BZTM4ZjNjNDItNGNkYS00MTM5LThhNDctMzVhNjU5MzA1Y2JjXkEyXkFqcGc@._V1_QL75_UY266_CR5,0,180,266_.jpg"
Love Affair Agent,,Drama,,"A real drama that depicts a unique interpretation of secret and forbidden love centered around 'Alibi Corporation', which does not actually exist but perfectly washes the private lives of its clients. Former bodyguard Jeon Jae Man lost his temper and acted violently toward his clients due to their unfair treatment. As a result, he was fired and began searching for a new job. One day, he meets a beautiful woman at a seminar whose job is to create alibis for clients engaged in extramarital affairs. She offers him a position working with her, and, captivated by her beauty, he accepts the offer. Thus, he embarks on a new career path.",,,,2008,2008,['\\N'],['\\N'],tt33479031,\N,"https://m.media-amazon.com/images/M/MV5BOTM5ZTQwYzQtOTVkMS00YTJmLWE5YTEtZTYyNGQwYmFlYTZiXkEyXkFqcGc@._V1_QL75_UX180_CR0,5,180,266_.jpg"
"Drink, Sing and Dance 2",,Drama,,"This romantic comedy is about Yoo Kam Woo, who can only drink about two sips of beer, and Do Eum Joo, an extreme alcohol enthusiast. This romantic comedy is about Yoo Kam Woo, who can only drink about two sips of beer, and Do Eum Joo, an extreme alcohol enthusiast.",,,,2018,2018,['\\N'],['\\N'],tt33079026,\N,"https://m.media-amazon.com/images/M/MV5BODFhNmM1YzgtZWZkOS00NDFhLTg3ZTYtYzI3NjAyNmJiNzRlXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
The Sensible Life of Director Shin,,Drama,,"In this quirky, meta Korean series shot from the perspective of a computer web cam, a director tries to make informative how-to videos about his creative process-and instead reveals an intimate inside look at his hilariously awkward private life as seen through his texts, video calls, Photobooth snaps, Final Cut projects, and internet search history. Drunk impulse purchases, blackmail, and flaccid nipples abound.",,,,2017,2017,['\\N'],['\\N'],tt33241807,\N,"https://m.media-amazon.com/images/M/MV5BYzY1ZmRmMTMtZWQ4OC00ZTk5LWJmYjYtNDcwYTQ5ZDU4ZTE5XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Open the Door,,Drama,,,,,,2020,2020,['\\N'],['\\N'],tt33336772,\N,"https://m.media-amazon.com/images/M/MV5BNWFhYTkyNDMtMzhjNC00YTZiLThkYjAtNmM0MDQ5ZWNlZTc5XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
The Way To Sangju,,Drama,,Yearim and Chulmin they're financially struggling young couple in city of Seoul. They decide to go to the Sangju country farm for green challenge.,,Jung Ho Cho,Soo Hyun Seo,2019,\N,"['Young Man Kang', 'Michael Maneage']",['Young Man Kang'],tt10697656,30,"https://m.media-amazon.com/images/M/MV5BYmI2MjhkNWEtOGViYy00ZGMyLTg5NzAtNTZmYWJhMWNiZjI2XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
The Road to Seoul,,\N,,"Who is the most beautiful woman in Asia? In this exciting documentary series, beautiful women from Mongolia to Indonesia to Thailand and more compete in preliminary competitions leading up to the 2014 Asia New Star Model Contest in Seoul.",,,,2014,2014,['\\N'],['\\N'],tt6280704,24,
Drama City: Oh! Sarah,,Drama,,,,Lee Min-ki,Seo Do-young,2005,2005,['Park Ji-sook'],['Kim Kyoo-tae'],tt33365216,\N,"https://m.media-amazon.com/images/M/MV5BMTIxN2E4MmMtZDk1Zi00OTE4LTg2ZDEtNGRiMDYyODkzYTRmXkEyXkFqcGc@._V1_QL75_UY266_CR5,0,180,266_.jpg"
The Guys Who Dispose,,Drama,,,,,,2017,2017,['\\N'],['\\N'],tt33258015,\N,"https://m.media-amazon.com/images/M/MV5BZTQ4MDg0OWYtMmFlNy00MzRiLTlmZWQtZDBiMWViYmM2ODk2XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
The Secret of Secret,,"Drama,Sport",,"""The Secret of Secret"" is about the courage of the main characters to heal wounds and advocate for human rights in the face of discrimination. Through their struggles and determination, they confront injustices and inspire change, showing the power of resilience and compassion in overcoming adversity.",,Jung Min-gyu,,2019,2019,['\\N'],['\\N'],tt33080168,15,"https://m.media-amazon.com/images/M/MV5BNGVlYzM3ZDItYzNjYy00OTU1LTgzM2MtNGI1OWRlMzU4YjljXkEyXkFqcGc@._V1_QL75_UX180_CR0,3,180,266_.jpg"
Our Love Story,,Drama,,,,,,2017,2017,['\\N'],['\\N'],tt33204192,\N,"https://m.media-amazon.com/images/M/MV5BMGI5NGE1NmQtMmZhYi00MmQ5LThiZTEtNGMyZWQ0MjM2ODFjXkEyXkFqcGc@._V1_QL75_UY266_CR5,0,180,266_.jpg"
Se mo jib,,Reality-TV,,,,,,2023,2024,['\\N'],['Kim Jin'],tt35228841,\N,
Crime,,Drama,,"A full-fledged courtroom dramatized from a real case that caused a huge social stir and led to a fierce legal battle. Since the case is shown from different angles based on the testimonies of the defendant and the witness, the tension is not let down until the end when the whole story of the case is clearly revealed. Not only the conclusion of the case, but also the occurrence of the crime and the unknown background story are meticulously recreated in the drama, so it is a masterpiece that combines the truthfulness and accuracy of a documentary with the fun and emotion of a drama. They don't allow any perfect crime. A lot of suspense in every episode. A surprising plot twist will be waiting for you in the end.",,,,2007,2008,['\\N'],['\\N'],tt33479020,\N,"https://m.media-amazon.com/images/M/MV5BYzdjYTc5MjgtZTBkNC00OWMyLWFlYTktZDEyOTI3ZjA0YWVlXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Super Junior Returns,,\N,,,,,,2017,2020,['\\N'],['\\N'],tt20101964,\N,
Play Guide,,"Comedy,Romance",,"Son Dam Bi is the CEO of Love Agency, who can see through people at first glance. Along with her GM, Park Min U, she's trying to find her clients dream partners and get rid of their fatal habits that prevent them from gaining their other halves.",,Son Dam-bi,Park Jae-min,2013,2013,['\\N'],['\\N'],tt10777794,11,"https://m.media-amazon.com/images/M/MV5BYjc5N2Y0YjAtZmM1Yi00NDAxLWI5NjgtMGU4MmRmMTYxZTRkXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
"I Love You, Loser!",,Drama,,A web drama about a dark history that you were embarrassed about resurfacing with the arrival of a new recruit. A web drama about a dark history that you were embarrassed about resurfacing with the arrival of a new recruit. A web drama about a dark history that you were embarrassed about resurfacing with the arrival of a new recruit.,,,,2019,2019,['\\N'],['\\N'],tt33256668,\N,"https://m.media-amazon.com/images/M/MV5BZjhlNmM0YjYtYmU2OC00ZDU2LWEyZmUtZWU5YmQ4NDgyYmIzXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
BReal Bro&Sis,,Drama,,,,Jung Jae-bin,,2022,2022,['\\N'],['\\N'],tt33343556,\N,"https://m.media-amazon.com/images/M/MV5BZGVlNTdlODMtNjU0YS00MThjLWJlYTItOGIyYjFkNWRiNWVmXkEyXkFqcGc@._V1_QL75_UY266_CR5,0,180,266_.jpg"
Justice Team,,Drama,,The drama tells stories of courageous prosecutors in Goyang's Investigative Task Force for Crimes Against Women and Children who uncover truth and fight for the weak who were silenced by injustice. The drama will feature two stories around that.,,,,2016,2016,['\\N'],['\\N'],tt33094081,\N,"https://m.media-amazon.com/images/M/MV5BNDhjYjY2MGItYmFlZS00YjFmLThjYjYtN2QyYmI5M2VlMTZjXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Drama City: The Flower Girl Is Here,,Drama,,"Ji Hoon and Ji Seok live with their grandmother in the valley after being parents. It's a fragile twin that's really different from what you might have come out of. Ji Hoon, who came out 5 minutes earlier, is foolish to do foolish looks, while Ji Seok is quick to notice handsome looks. A flower man from Seoul appears in front of them after a boring daily life in a rural branch school. At first glance, Ji Hoon falls in love with Byeolbun. Ji Hoon does not deserve such a spirit, but rather he is worried about the ugly one who is greedy. In the meantime, Mr. Flower puts the phone he cares about most in the toilet. For this reason, Flowerbun ignores Ji Hoon and shows interest in Jiseok. Ji Hoon was worried that he would take the flower powder from Ji Seok.",,,,2006,2006,['\\N'],['\\N'],tt33365590,\N,"https://m.media-amazon.com/images/M/MV5BN2JlMzcyYjYtYjhkYi00OTY2LTljMDItZDgyNGMwZjkwMTcwXkEyXkFqcGc@._V1_QL75_UY266_CR5,0,180,266_.jpg"
Sapchungi Flow,,Drama,,,,,,2022,2022,['\\N'],['\\N'],tt33255554,\N,"https://m.media-amazon.com/images/M/MV5BY2VhMDY2YzUtNzhlOS00NWUwLThjNTAtMDJiYWE0Y2QwMWNhXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Intern,,Drama,,,,,,2023,2023,['\\N'],['\\N'],tt33319999,\N,"https://m.media-amazon.com/images/M/MV5BYmRiMzBlNzctMTQ1MC00YzlkLThhNmYtZWY5ZWZiNDE1YjU1XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
A Guy Friend 14 Days Before,,"Drama,Romance",,,,Jung Min-gyu,,2018,2018,['\\N'],['\\N'],tt33078725,15,"https://m.media-amazon.com/images/M/MV5BNThjYTllMWUtNWY4NC00M2IyLTk1ZDMtZDIwMzNlZjhmYTU5XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Jeiseunui Hanyeongsajeon,,Talk-Show,,"Film critic, professor, and Bong Joon Ho-fan, Jason Bechervaise, invites friends and guests to talk all things Korean film.",,,,2019,2019,['\\N'],['Kim Jae-man'],tt13310808,100,"https://m.media-amazon.com/images/M/MV5BNDMzMzFjYjgtYmEwMy00YmQxLThhMGEtMTYwOGUxODNjNDUwXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Love Counselor,,Drama,,,,,,2016,2016,['\\N'],['\\N'],tt33395946,\N,"https://m.media-amazon.com/images/M/MV5BMjc5YTFiNDUtYjIwNi00ODMyLTlkNjQtZWNkYTYxNmNlMjRhXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Cramped Love,,Drama,,It depicts the romance of a woman who is linked to three men named 'Su Won'. It is expected that the interpretation of the relationship in society will be interestingly solved as a romantic comedy. It depicts the romance of a woman who is linked to three men named 'Su Won'. It is expected that the interpretation of the relationship in society will be interestingly solved as a romantic comedy.,,,,2020,2020,['\\N'],['\\N'],tt33338913,\N,"https://m.media-amazon.com/images/M/MV5BMDY1YTkxYmQtZTQzYi00NTAzLTgzYTItNmY5M2FjYzhjY2FhXkEyXkFqcGc@._V1_QL75_UY266_CR5,0,180,266_.jpg"
Tell Me You've Changed,,Drama,,"The story is about Da Mi, active as a statistician in 2000, who reminisces about her past when she starts working as a researcher again in 2020, and depicts a romance with Seok Jin, whom she met 20 years ago in the research institute training program.",,,,2020,2020,['\\N'],['\\N'],tt33312162,\N,"https://m.media-amazon.com/images/M/MV5BNDNkNDM3ZTMtNDMzZS00YWMwLTgyNGMtOThhOWM0ODdlZTViXkEyXkFqcGc@._V1_QL75_UY266_CR5,0,180,266_.jpg"
I'm Not a Loser,,Drama,,,,,,2021,2021,['\\N'],['\\N'],tt33320130,\N,"https://m.media-amazon.com/images/M/MV5BZmNmNTEyZWUtMmY3Mi00YjE1LTg3MzMtNjNhYzdhNDhjYTkzXkEyXkFqcGc@._V1_QL75_UY266_CR5,0,180,266_.jpg"
Yeokkeuni,,Drama,,"Gu Il lives with her boyfriend. And the story begins with her explaining how they met. And the ups and downs both couples went through and how they got diverted from their relationship and realised their fault, and started living together in the end.",,,,2020,2020,['\\N'],['\\N'],tt33256625,\N,"https://m.media-amazon.com/images/M/MV5BMjdlMGMxNzktNzAwNi00ZWI3LWFiODMtYTc1MDBlN2UxYWYxXkEyXkFqcGc@._V1_QL75_UY266_CR43,0,180,266_.jpg"
Di 29 Jie LG Bei Shi Jie Wei Qi Qi Wang Zhan,,Sport,,,,,,2024,2025,['\\N'],['\\N'],tt35508629,\N,"https://m.media-amazon.com/images/M/MV5BYzExMDM0N2UtYjVmZi00ODA0LWE1YTItZmExZDNmNWE0MDk5XkEyXkFqcGc@._V1_QL75_UY266_CR149,0,180,266_.jpg"
Love Appendix,,Drama,,"Our breakup during our 10th anniversary trip. Since when did you decide to break up with me? A realistic and relatable drama about a long-term couple. So Wol, a travel agent, heads to Cheongdo for a new project. While traveling with San, her lover of 10 years, So Wol encounters unexpected events in Cheongdo.",,,,2024,2024,['\\N'],['\\N'],tt33255240,\N,"https://m.media-amazon.com/images/M/MV5BN2Y3Y2E4MDAtYjY5Zi00NTkwLTlkMDktNDU2MGQ4YjFkNmU0XkEyXkFqcGc@._V1_QL75_UY266_CR21,0,180,266_.jpg"
Love Assistant,,Drama,,"The love of teenagers is supposed to be secondary to the goal of college. However here, their sincere love is the first, thus they are called clumsy students, but isn't it the most valuable and brilliant thing? The story takes place at the Love Assistant Club in high school, which develops unrequited love into love, in the process of confessing a love that is both wrong and realized. A vague and touching romance of teenagers is portrayed. As they look at each other's wounds with sincerity, they grow stronger.",,,,2020,2020,['\\N'],['\\N'],tt33476138,\N,"https://m.media-amazon.com/images/M/MV5BNjhkZDMwMzYtMjc2NC00YjdiLTk4Y2ItYjI3N2M1NDk5NDEzXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Yeongwoong shinhwa,,"Action,Drama",,,,Jang Dong-gun,Lee Min-young,1997,\N,['Kim Ji-soo'],['Ho-kyun Shin'],tt0315729,50,
Wanna Sleepover,,Drama,,,,,,2021,2021,['\\N'],['\\N'],tt33096523,\N,"https://m.media-amazon.com/images/M/MV5BODI2ODJlMzMtODA3Ny00MjVhLWJiN2ItNTEyNzY4Yjc4YjRjXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Future Company,,Drama,,,,,,2021,2021,['\\N'],['\\N'],tt33398530,\N,"https://m.media-amazon.com/images/M/MV5BOTRhY2I1OTItNGQwYy00ZWY3LTg1NTQtNjk2ZWUxNzYyYjE2XkEyXkFqcGc@._V1_QL75_UX180_CR0,26,180,266_.jpg"
Simple Relatable Drama,,Drama,,,,,,2016,2017,['\\N'],['\\N'],tt33078661,\N,"https://m.media-amazon.com/images/M/MV5BZTc3NDg4ZTAtODllMC00YTc5LWJlNjItMTU2NDc4NTA0ZDRlXkEyXkFqcGc@._V1_QL75_UY266_CR11,0,180,266_.jpg"
"Oh, Yeojeong: Summer",,Drama,,"A story about Yeo Jung's summer trip, who traveled alone again due to a friend's sudden cancellation to accompany her. The reason for going on a trip is always unknown, but the journey contains a bitter reality rather than a sweet romance and a calm monologue rather than a poignant story.",,Lee So Hee,,2018,2018,['\\N'],['\\N'],tt33066550,\N,"https://m.media-amazon.com/images/M/MV5BNWQxZTFiOWYtZTk5OS00MmQ5LTg3YmItZGQ2MzFjNzgwNWQ0XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Seasonal Love,,Drama,,,,,,2018,2018,['\\N'],['\\N'],tt33317167,\N,"https://m.media-amazon.com/images/M/MV5BNGU0YjRjZmEtMzUwZC00MWEzLTkwZjUtZjMwMjAwOGMyZTU5XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Dancing with the Stars,,\N,,,,,,2011,2013,['\\N'],['\\N'],tt35227377,\N,"https://m.media-amazon.com/images/M/MV5BMzQ1MWI4ZjQtNTJiYS00ODViLWJlMDItYTdhODNiZjZlMmU1XkEyXkFqcGc@._V1_QL75_UY266_CR17,0,180,266_.jpg"
"Everyone, at Least Once 2",,Drama,,,,,,2024,2024,['\\N'],['\\N'],tt33096711,\N,"https://m.media-amazon.com/images/M/MV5BMDQ0NGM5MjYtOTQzZS00ZTczLWIzZTItNWEzZWMzZGQxNzFlXkEyXkFqcGc@._V1_QL75_UY266_CR5,0,180,266_.jpg"
To my Harry,,Drama,,,,,,2024,\N,['\\N'],['\\N'],tt33478201,\N,
Ivan lam,,Reality-TV,,"Ivan Lam is just a simple, humble guy who is very invested in skincare, makeup and health. He is all about positive energy and smiles.",,,,2016,2016,['\\N'],['\\N'],tt6950174,7,
Romantic Boss,,Drama,,"The story of a diverse group of young adult professionals, including an event organizer, master chef, a webtoon writer, a fashion designer, an interior designer, and a classical singer, as they chase their dreams and look for love. Will they achieve it?",,,,2016,2016,['\\N'],['\\N'],tt33087198,\N,"https://m.media-amazon.com/images/M/MV5BNGFkZWIzOTUtN2Q3ZC00MWUyLTg5YTEtNDMyOTFhMGU5NTY5XkEyXkFqcGc@._V1_QL75_UY266_CR11,0,180,266_.jpg"
2016 DMC Festival,,\N,,"The ""2016 DMC Festival"" is an annual festival celebrating the best of the Hallyu wave. Sponsored by MBC, the 2nd annual festival was held October 1-11, 2016, at the Sangam Culture Plaza and at MBC headquarters at Sangam-dong, Seoul, South Korea. The 11-day musical festival features awards shows, exhibitions and showcase performances by the hottest K-pop groups and artists.",,,,2016,2016,['\\N'],['\\N'],tt6280706,75,
Crow Building,,Drama,,,,,,2017,2017,['\\N'],['\\N'],tt33241758,\N,"https://m.media-amazon.com/images/M/MV5BNTI0NDk5NTUtOGI1NC00Nzg4LTg3MzctNzk0YWNiN2Q0MTZjXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
8 Reasons I Don't Want to Marry You,,Drama,,,,,,2021,2021,['\\N'],['\\N'],tt33309810,\N,"https://m.media-amazon.com/images/M/MV5BNmY3MTA3YjItMWQ1OS00MzAxLWEwOGUtNzQ1NmFkMWMyNGVkXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Idol Festa Daejakjeon: Jeonguk Banjjak Tueo,,,,Top K-pop groups visit cities around the country to provide local residents with local specialties and performances.,,,,,,['\\N'],['\\N'],tt38047571,,"https://m.media-amazon.com/images/M/MV5BZDAyNTk3ZDktMjQyYS00NTVjLTkyODUtNTQyNDE3NTE0ZTQ1XkEyXkFqcGc@._V1_QL75_UX180_CR0,1,180,266_.jpg"
