title,rating,genres,votes,synopsis,age_rating,mainLead1,mainLead2,startYear,endYear,writer,director,id,runtimeMinutes,image_url
Raiding Insaeng,7.1,Comedy,26,"The life of a three-generation mother and daughter in Daechi-dong, where Jeong-eun (Jeon Hye-jin), a working mother, prepares for her daughter's '7th birthday' and entrusts Ji-ah (Jo Min-soo) with driving her to school.",,Jeon Hye-jin,Jo Min-soo,2025,\N,['\\N'],['Kim Cheol-gyu'],tt35973459,60,"https://m.media-amazon.com/images/M/MV5BNDE4NjQ4MWItNDk0MC00MmUxLTgwM2YtNzU5Nzc4N2NmMWY1XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Sixth Sense: City Tour,7.0,"Comedy,Game-Show,Mystery",13,"Sixth Sense: City Tour is back. Armed with sharper instincts, the cast explores the hottest city spots, uncovering hidden fakes along the way. From viral hotspots to trendy must-sees, can they spot what's real in this travel guessing game?",TV-14,,,2025,\N,['\\N'],['Cheol Min'],tt35882181,95,"https://m.media-amazon.com/images/M/MV5BM2NlY2NjYmYtNjA2Ni00NTJlLWEwMzgtMzNjMThkZWE1NTY4XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
The Traitors South Korea,,"Game-Show,Reality-TV",,,,,,\N,\N,['\\N'],['\\N'],tt35659774,\N,
Life After One Minute,,Drama,,The story of Lee Segye who can see one minute into the future and Ha Nabi who caught his eye. The story of Lee Segye who can see one minute into the future and Ha Nabi who caught his eye. The story of Lee Segye who can see one minute into the future and Ha Nabi who caught his eye.,,Kim Da-som,Choi Jae-Hyeok,2022,2022,['\\N'],['\\N'],tt33307923,\N,"https://m.media-amazon.com/images/M/MV5BZjZhNDAzMDgtYzljMS00ZGYyLWI3NDktMDFmNWU3YjY3ZmRiXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Gwanchon Essay,,Drama,,,,Yang Dong-geun,Kim Yong-rim,1992,1993,"['Lee Mun-ku', 'Kim Won-seok']",['Jong-han Lee'],tt36956380,\N,"https://m.media-amazon.com/images/M/MV5BYmI5MDY4YWItMzNjYi00ZjVlLWE1ODItYjViMzE3M2M2OWZiXkEyXkFqcGc@._V1_QL75_UY266_CR147,0,180,266_.jpg"
Noran Sonsugeon,,Drama,,,,Lee Tae-ran,Choo Sang-mi,2003,2003,['Jung-ran Park'],['Jong-Chang Kim'],tt11157188,45,"https://m.media-amazon.com/images/M/MV5BZWFkZmFjNzQtYWY5ZC00YmRmLTlkOTAtZmExNzE5ODU5NTNiXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
To Do X Tomorrow X Together,9.3,Reality-TV,44,TO DO X TOMORROW X TOGETHER (also known as just TO DO) is a variety web series by TOMORROW X TOGETHER. The show features the members competing in teams or individually in various challenges and games.,,TXT,Choi Yeon-jun,2020,\N,['\\N'],['\\N'],tt28796050,\N,"https://m.media-amazon.com/images/M/MV5BZmQwZTBiNTctNjEzYS00MzE5LWJjYTEtZWVhNDE5YmRiMmE4XkEyXkFqcGc@._V1_QL75_UY266_CR147,0,180,266_.jpg"
The 3rd Hospital,7.4,"Drama,Romance",59,Revolves on the competition between western and eastern medicine in the neurosurgery department of an alternative hospital.,,Kim Seung-woo,Kim Min-jung,2012,\N,['\\N'],"['Sol-mae Kim', 'Hyunwoo Myung']",tt2182614,\N,"https://m.media-amazon.com/images/M/MV5BYmQzMjM5YmItNjJlNi00NWY4LWJjMmQtOTU2NzFkNDljMmVlXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Lipstick Prince,8.9,Comedy,13,"Lipstick Prince is a South Korean beauty show distributed by OnStyle every Thursday at 9:00 pm, starting from December 1, 2016. The show features with idols, who will learn about makeup techniques before applying their new skills on mannequins and celebrity guests. The show hopes to break the stereotype that makeup is only for females and for male idols to talk about male cosmetics, makeovers and beauty.",,,,2016,\N,['\\N'],['\\N'],tt6556772,\N,"https://m.media-amazon.com/images/M/MV5BOWFhZDg0ZTctZTVhYy00ZTAyLWI3NjUtYzhhZTRkNGQ3NDc0XkEyXkFqcGc@._V1_QL75_UY266_CR1,0,180,266_.jpg"
The Great First Wives,,"Drama,Romance",,"Three women attended the same high school and now reside in the same apartment complex. They were once involved in an unsolved murder case. Now, each woman is haunted by the past.",,Lee Jong-won,Hwang Woo-seul-hye,2015,2015,['Soon-Young Hwang'],['Kim Heung Dong'],tt5690232,\N,"https://m.media-amazon.com/images/M/MV5BNzBiNmMxZDgtMWUwZS00MDQ3LTljOGQtMmNhODk0MGJhY2RjXkEyXkFqcGc@._V1_QL75_UX180_CR0,1,180,266_.jpg"
Switch: Change the World,7.3,Drama,272,"A man is a swindler. He is smart enough to take the bar exam, but he could not become a prosecutor. Disregarding favoritism and biases by prosecutors, the man makes criminals pay for crimes that prosecutors did not.",,Jang Keun-suk,Jang Keun-suk,2018,2018,['Woon-Chul Baek'],['Tae-Jin Nam'],tt8078910,35,"https://m.media-amazon.com/images/M/MV5BZTE2NWRjZGUtZjc3Zi00ZWYzLWI4ZDEtYjE3NTMyNmExNTkzXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Clocking Out,6.0,Sci-Fi,13,"Korea has been taken over by aliens, and three agents from two different timelines spearhead the war against them. An unknown monster strikes them. One day, a single scream in an urgent phone call was heard. A top-level national secret organization, aka BUG ""Bureau of Unidentified Genes"", is dispatched to catch the unknown beast that appears in the city center. Veteran Jung Bong, principleist Hyo Chan, and passionate newcomer Ki Woong, the three of Korea's top special agents, are starting to counterattack.",,Kim Sang-jung,Joo Won,2016,2016,['\\N'],['Geon Kim'],tt10210668,11,"https://m.media-amazon.com/images/M/MV5BNWYyMTQ1YWUtYzVjZS00NzBiLTk1ZjktOTc3YTczZDNjZGIxXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
